ItemCodigo;CompetenciaCodigo;UnidadCodigo;ObjetivoCodigo;GradoCodigo;DificultadItemCodigo;ItemOmision;ItemBiserial;ItemDificultad;ItemTRIa;ItemTRIb;ItemTRIc;ItemProbAdmin;AreaCodigo;SubObjetivoCodigo
MAT2110;18;6;30;6;0;0;0;0;0.881;-0.318;0;1;1;118
MAT2113;20;11;41;6;2;0;0;0;0.952;-0.167;0;1;1;31
MAT2114;20;6;35;6;0;0;0;0;1.301;-0.098;0;1;1;80
MAT2115;18;12;43;6;0;0;0;0;1.118;-0.707;0;1;1;8
MAT2116;20;6;34;3;2;0;0;0;1.886;-1.242;0;0.752588;1;71
MAT2117;20;6;34;3;0;0.01;0.49;0.43;1.143;-0.424;0;1;1;71
MAT2118;18;6;35;3;3;0.03;0.47;0.51;1.569;-1.141;0;1;1;80
MAT2120;18;12;43;3;2;0;0;0;0.772;0.562;0;1;1;8
MAT2122;19;9;32;3;3;0;0;0;2.043;-1.36;0;0.189335;1;56
MAT2124;19;9;32;3;3;0;0;0;1.418;-1.422;0;1;1;56
MAT2125;20;6;35;6;3;0;0;0;1.97;-0.987;0;0.284604;1;80
MAT2126;20;9;32;3;0;0.03;0.48;0.18;1.128;0.932;0;1;1;56
MAT2129;18;12;44;6;2;0;0;0;1.392;-1.418;0;1;1;1
MAT2130;20;6;35;6;1;0;0;0;1.284;-0.61;0;1;1;82
MAT2131;18;8;45;3;2;0;0;0;1.768;-0.772;0;0.05709;1;123
MAT2132;20;6;30;6;3;0;0;0;1.041;-0.493;0;1;1;61
MAT2133;18;6;30;6;3;0;0;0;0.778;0.449;0;1;1;118
MAT2137;20;8;47;3;2;0;0;0;0.9;0.089;0;1;1;134
